Year,Month,Roanoke,Newport News,Norfolk,Richmond
2022,1,73.0,34.5,66.7,60.7
2022,2,73.8,75.3,77.5,85.0
2022,3,83.1,81.1,73.5,83.2
2022,4,81.8,86.3,79.6,79.0
2022,5,60.6,79.4,70.2,77.2
2022,6,71.8,74.3,75.0,85.0
2022,7,55.3,75.6,64.5,74.9
2022,8,66.2,77.4,71.9,15.5
2022,9,71.4,79.0,76.8,80.5
2022,10,68.7,80.5,78.1,71.4
2022,11,73.0,81.3,76.9,75.6
2022,12,70.5,76.2,75.0,74.7
2023,1,80.2,89.0,87.0,83.9
2023,2,87.3,84.7,80.1,82.6
2023,3,75.9,82.4,82.1,81.3
2023,4,75.8,63.9,71.3,71.3
2023,5,76.2,68.5,75.0,81.8
2023,6,81.5,64.1,75.5,74.4
2023,7,62.9,48.6,58.7,62.4
2023,8,73.4,59.9,74.8,73.3
2023,9,68.1,72.5,70.6,71.6
2023,10,66.5,76.7,71.9,71.8
2023,11,67.5,80.2,73.3,74.1
2023,12,73.1,87.3,74.1,79.2
2024,1,78.2,79.6,74.5,81.2
2024,2,86.2,81.4,72.8,85.0
2024,3,81.6,83.3,75.5,68.2
2024,4,80.3,77.7,68.8,68.5
2024,5,71.8,73.7,67.3,72.0
2024,6,70.6,60.4,60.4,59.0
